"GOVCODE","GOVNAME","RESCODE","ENROLLMT","NSCHLS","SCHLVL","AREA","MCCODE","BIGCODE","EMPST","GOVCOMP","GBATLRG","GBELDIST","GBTOT","GBMALE","GBWM","GBBKM","GBWHM","GBBKHM","GBAMIM","GBASM","GBFEM","GBWFEM","GBBKFEM","GBWHFEM","GBBKHFEM","GBAMIFEM","GBASFEM","ABTOT","ABMALE","ABWM","ABBKM","ABWHM","ABBKHM","ABAMIM","ABASM","ABFEM","ABWFEM","ABBKFEM","ABWHFEM","ABBKHFEM","ABAMIFEM","ABASFEM","OOSUPER","OOMISC","OOMALE","OOWM","OOBKM","OOWHM","OOBKHM","OOAMIM","OOASM","OOFEM","OOWFEM","OOBKFEM","OOWHFEM","OOBKHFEM","OOAMIFEM","OOASFEM","FYMMDD","ADVSC","TYPESC"
"265104002","BELL CITY SCH DIST R 2",1,251,2,3,5,"000000000000000000000000000000",2,2,4,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,1,2
"265104003","BERNIE SCHOOL DIST R 13",1,610,2,3,4,"261042603500000000000000000000",2,2,3,6,6,0,5,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,1,2
"265104004","BLOOMFIELD SCH DIST R-14",1,741,4,3,5,"000000000000000000000000000000",2,2,4,6,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,2,0
"265104005","DEXTER SCH DIST R 11",1,2250,4,3,5,"000000000000000000000000000000",2,2,4,6,6,0,5,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,2,0
"265104010","RICHLAND SCH DIST R-1",1,447,2,3,5,"000000000000000000000000000000",2,1,4,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,1,2
"265104018","PUXICO SCH DIST R 8",1,688,2,3,4,"261042611200000000000000000000",2,2,4,6,6,0,4,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,1,3
"265105001","BLUE EYE SCH DIST R 5",1,484,3,3,5,"000000000000000000000000000000",2,1,4,6,0,6,5,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,2,0
"265105002","CRANE SCH DIST R 3",1,593,2,3,4,"261052600500000000000000000000",2,2,4,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,2,0
"265105003","GALENA SCH DIST R 2",1,485,2,3,4,"260052610526107000000000000000",2,2,4,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,1,2
"265105004","HURLEY SCH DIST R 1",1,202,2,3,5,"000000000000000000000000000000",2,2,4,6,6,0,5,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,1,2
"265105005","REEDS SPRING SCH DIST R-4",1,1252,4,3,4,"261052600500000000000000000000",2,2,4,6,6,0,3,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,2,0
"265106001","NEWTOWN HARRIS SCH DIST R-3",1,96,2,3,4,"261062608626065260400000000000",2,2,4,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,2,0
